,recommend,review
0,0,way plug us unless go converter 
1,1,good case excellent value 
2,1,great jawbone 
3,0,tied charger conversations lasting 45 minutes.major problems 
4,1,mic great 
5,0,jiggle plug get line right get decent volume 
6,0,several dozen several hundred contacts imagine fun sending one one 
7,1,razr owner must 
8,0,needless say wasted money 
9,0,waste money time 
10,1,sound quality great 
11,1,impressed going original battery extended battery 
12,0,two seperated mere 5+ ft started notice excessive static garbled sound headset 
13,1,good quality though 
14,0,design odd ear clip not comfortable 
15,1,highly recommend one blue tooth phone 
16,0,advise everyone not fooled 
17,1,far good 
18,1,works great 
19,0,clicks place way makes wonder long mechanism would last 
20,0,went motorola website followed directions but could not get pair 
21,1,bought use kindle fire absolutely loved 
22,0,commercials misleading 
23,1,yet run new battery two bars three days without charging 
24,0,bought mother problem battery 
25,1,great pocket pc phone combination 
26,1,'ve owned phone 7 months say best mobile phone 've 
27,0,not think instructions provided helpful 
28,0,people couldnt hear talk pull earphone talk phone 
29,0,not hold charge 
30,0,simple little phone use but breakage unacceptible 
31,1,product ideal people like whose ears sensitive 
32,0,unusable moving car freeway speed 
33,0,two years left contract hate phone 
34,1,car charger well ac charger included make sure never run juice.highy recommended 
35,0,need least 3 mins get phone book time first turn phone.battery life short 
36,1,kept well 
37,0,poor talk time performance 
38,1,case great works fine 680 
39,0,worthless product 
40,1,great camera thats 2mp pics nice clear great picture quality 
41,0,not impressed product 
42,1,nice headset priced right 
43,0,hear garbage audio 
44,1,excellent bluetooth headset 
45,1,features want 
46,0,right mind gon na buy battery 
47,0,arguing verizon regarding dropped calls returned phones two days 
48,1,case seems well made 
49,0,disappointed battery 
50,0,not loud enough not turn like 
51,1,good protection not make phone bulky 
52,1,usable keyboard actually turns pda real-world useful machine instead neat gadget 
53,1,phone pretty sturdy 've never large problems 
54,1,love thing 
55,1,everything fine reasonable price i.e 
56,0,disappointed 
57,1,even dropped phone stream submerged 15 seconds still works great 
58,1,happy 510 complaints one regarding sound quality end 
59,0,buttons bad 
60,0,essentially forget microsoft tech support 
61,1,really recommend faceplates since looks nice elegant cool 
62,1,headphones great find think perhaps best purchase 've made last several years seriously 
63,0,buy different phone but not 
64,0,hold phone particular angle party hear clearly 
65,0,one big drawback mp3 player buttons phone front cover let pause skip songs lock seconds 
66,0,week later activated suddenly died 
67,1,feels comfortable headsets wear glasses gets way sometimes 
68,1,great ipods 
69,1,device great several situations:1 
70,0,mic not work 
71,0,even bmw 3 series fairly quiet trouble hearing person saying 
72,1,great choice 
73,1,nice docking station home work 
74,1,beautiful phone 
75,1,love product 
76,0,not buy d807 wrongly advertised d807 
77,1,great little item 
78,1,love phone handy lot features 
79,0,purchased within 2 days longer working 
80,1,wear everyday holds well 
81,0,not good bargain 
82,1,well packaged arrived time works intended 
83,0,battery runs quickly 
84,0,item worked great but broke 6 months use 
85,1,headsets easy use everyone loves 
86,1,phone works great 
87,0,construction headsets poor 
88,1,product excellent works better verizon one boy cheaper 
89,1,phone loads super 
90,0,product costs much one expect work far better greater ease thing 
91,1,made sturdy 
92,1,worked great 
93,0,ear buds play music one ear 
94,0,dont waste money 
95,1,order 
96,0,plan use car forget 
97,0,found product waaay big 
98,1,best 've found far 've tried 2 bluetooths one best quality listener well ease using 
99,0,'m disappointed decision 
100,1,integrated seamlessly motorola razr phone 
