,city,statecode,date,sold,value,region
0,"Akron, OH",OH,2008-02-01,211.0,128994.75620787677,Midwest
1,"Akron, OH",OH,2008-03-01,242.0,128791.34319997496,Midwest
2,"Akron, OH",OH,2008-04-01,290.0,128743.96185412336,Midwest
3,"Akron, OH",OH,2008-05-01,314.0,128928.82308797725,Midwest
4,"Akron, OH",OH,2008-06-01,424.0,128905.00805481516,Midwest
5,"Akron, OH",OH,2008-07-01,373.0,128842.2906075942,Midwest
6,"Akron, OH",OH,2008-08-01,353.0,128512.63794900569,Midwest
7,"Akron, OH",OH,2008-09-01,350.0,128177.24383915817,Midwest
8,"Akron, OH",OH,2008-10-01,315.0,127811.08737838925,Midwest
9,"Akron, OH",OH,2008-11-01,205.0,127388.0525091952,Midwest
10,"Akron, OH",OH,2008-12-01,208.0,126628.54773963727,Midwest
11,"Akron, OH",OH,2009-01-01,128.0,125833.868865215,Midwest
12,"Akron, OH",OH,2009-02-01,152.0,125076.0531447408,Midwest
13,"Akron, OH",OH,2009-03-01,193.0,124451.65788102004,Midwest
14,"Akron, OH",OH,2009-04-01,246.0,123888.27800310544,Midwest
15,"Akron, OH",OH,2009-05-01,277.0,123459.07495226624,Midwest
16,"Akron, OH",OH,2009-06-01,317.0,123083.46816883708,Midwest
17,"Akron, OH",OH,2009-07-01,371.0,122613.63930764188,Midwest
18,"Akron, OH",OH,2009-08-01,340.0,122195.27728284056,Midwest
19,"Akron, OH",OH,2009-09-01,340.0,122001.26211783952,Midwest
20,"Akron, OH",OH,2009-10-01,354.0,122024.65121930144,Midwest
21,"Akron, OH",OH,2009-11-01,359.0,121956.94767297267,Midwest
22,"Akron, OH",OH,2009-12-01,288.0,121728.15606327016,Midwest
23,"Akron, OH",OH,2010-01-01,156.0,121420.2096443352,Midwest
24,"Akron, OH",OH,2010-02-01,191.0,121219.30665578364,Midwest
25,"Akron, OH",OH,2010-03-01,274.0,121026.48626385014,Midwest
26,"Akron, OH",OH,2010-04-01,378.0,120714.1346311468,Midwest
27,"Akron, OH",OH,2010-05-01,404.0,120872.66213758994,Midwest
28,"Akron, OH",OH,2010-06-01,454.0,121325.10368110584,Midwest
29,"Akron, OH",OH,2010-07-01,245.0,121789.26634081671,Midwest
30,"Akron, OH",OH,2010-08-01,270.0,121687.68101508508,Midwest
31,"Akron, OH",OH,2010-09-01,252.0,121050.26704962344,Midwest
32,"Akron, OH",OH,2010-10-01,222.0,120241.5555893684,Midwest
33,"Akron, OH",OH,2010-11-01,224.0,119242.20740349004,Midwest
34,"Akron, OH",OH,2010-12-01,226.0,118356.21099504636,Midwest
35,"Akron, OH",OH,2011-01-01,135.0,117530.45412127524,Midwest
36,"Akron, OH",OH,2011-02-01,122.0,116938.65639607162,Midwest
37,"Akron, OH",OH,2011-03-01,219.0,116464.7926471896,Midwest
38,"Akron, OH",OH,2011-04-01,212.0,116127.39279016896,Midwest
39,"Akron, OH",OH,2011-05-01,259.0,115403.544832096,Midwest
40,"Akron, OH",OH,2011-06-01,299.0,114659.7002510995,Midwest
41,"Akron, OH",OH,2011-07-01,291.0,113957.22088312508,Midwest
42,"Akron, OH",OH,2011-08-01,377.0,113675.83282987916,Midwest
43,"Akron, OH",OH,2011-09-01,317.0,113260.2329929178,Midwest
44,"Akron, OH",OH,2011-10-01,245.0,112664.85274813489,Midwest
45,"Akron, OH",OH,2011-11-01,241.0,112065.31883673936,Midwest
46,"Akron, OH",OH,2011-12-01,265.0,111446.69864037645,Midwest
47,"Akron, OH",OH,2012-01-01,201.0,110734.82882168036,Midwest
48,"Akron, OH",OH,2012-02-01,210.0,110087.82593809966,Midwest
49,"Akron, OH",OH,2012-03-01,298.0,109745.93365118164,Midwest
50,"Akron, OH",OH,2012-04-01,317.0,109980.64477648748,Midwest
51,"Akron, OH",OH,2012-05-01,412.0,110259.05292272852,Midwest
52,"Akron, OH",OH,2012-06-01,442.0,110468.80764777384,Midwest
53,"Akron, OH",OH,2012-07-01,403.0,110527.89988831247,Midwest
54,"Akron, OH",OH,2012-08-01,515.0,110514.75292983072,Midwest
55,"Akron, OH",OH,2012-09-01,377.0,110629.18911609316,Midwest
56,"Akron, OH",OH,2012-10-01,453.0,110601.11360749048,Midwest
57,"Akron, OH",OH,2012-11-01,393.0,110604.9034770464,Midwest
58,"Akron, OH",OH,2012-12-01,411.0,110734.18156594706,Midwest
59,"Akron, OH",OH,2013-01-01,272.0,110890.30314954132,Midwest
60,"Akron, OH",OH,2013-02-01,228.0,111102.3396717884,Midwest
61,"Akron, OH",OH,2013-03-01,371.0,111390.233538904,Midwest
62,"Akron, OH",OH,2013-04-01,394.0,112159.40531586586,Midwest
63,"Akron, OH",OH,2013-05-01,520.0,113173.25708163805,Midwest
64,"Akron, OH",OH,2013-06-01,578.0,114027.61964798524,Midwest
65,"Akron, OH",OH,2013-07-01,636.0,114618.60020914556,Midwest
66,"Akron, OH",OH,2013-08-01,583.0,115080.58160727702,Midwest
