date,sold
2008-02-01,18.552
2008-03-01,21.359
2008-04-01,22.593
2008-05-01,24.98
2008-06-01,25.324
2008-07-01,24.599
2008-08-01,23.411
2008-09-01,18.552
2008-10-01,17.476
2008-11-01,13.215
2008-12-01,16.582
2009-01-01,11.121
2009-02-01,13.847
2009-03-01,17.345
2009-04-01,17.733
2009-05-01,19.79
2009-06-01,22.693
2009-07-01,23.335
2009-08-01,20.634
2009-09-01,19.374
2009-10-01,20.272
2009-11-01,18.71
2009-12-01,16.914
2010-01-01,10.797
2010-02-01,13.781
2010-03-01,20.465
2010-04-01,22.893
2010-05-01,23.812
2010-06-01,22.864
2010-07-01,17.336
2010-08-01,17.831
2010-09-01,16.05
2010-10-01,14.99
2010-11-01,14.398
2010-12-01,16.423
2011-01-01,11.38
2011-02-01,12.679
2011-03-01,18.341
2011-04-01,18.802
2011-05-01,20.301
2011-06-01,22.694
2011-07-01,20.221
2011-08-01,21.957
2011-09-01,18.51
2011-10-01,16.352
2011-11-01,15.495
2011-12-01,17.101
2012-01-01,12.487
2012-02-01,15.352
2012-03-01,19.91
2012-04-01,20.641
2012-05-01,24.198
2012-06-01,25.326
2012-07-01,24.098
2012-08-01,25.786
2012-09-01,19.932
2012-10-01,20.823
2012-11-01,18.998
2012-12-01,19.389
2013-01-01,15.532
2013-02-01,17.413
2013-03-01,23.401
2013-04-01,25.646
2013-05-01,29.56
2013-06-01,28.088
2013-07-01,30.046
2013-08-01,29.429
2013-09-01,23.868
2013-10-01,22.625
2013-11-01,19.623
2013-12-01,21.395
2014-01-01,15.738
2014-02-01,18.467
2014-03-01,23.119
2014-04-01,25.32
2014-05-01,28.722
2014-06-01,30.247
2014-07-01,29.974
2014-08-01,28.965
2014-09-01,25.476
2014-10-01,25.452
2014-11-01,19.987
2014-12-01,24.205
2015-01-01,16.236
2015-02-01,18.63
2015-03-01,25.298
2015-04-01,26.299
2015-05-01,28.61
2015-06-01,32.013
2015-07-01,32.775
2015-08-01,30.095
2015-09-01,27.356
2015-10-01,24.681
2015-11-01,19.577
2015-12-01,25.545
2016-01-01,17.1
2016-02-01,20.4
2016-03-01,27.113
2016-04-01,27.57
2016-05-01,30.514
2016-06-01,32.911
2016-07-01,29.905
2016-08-01,32.299
2016-09-01,28.045
2016-10-01,25.022
2016-11-01,23.604
2016-12-01,25.843
2017-01-01,17.856
2017-02-01,20.874
2017-03-01,28.928
2017-04-01,27.386
2017-05-01,33.456
2017-06-01,35.102
2017-07-01,31.221
2017-08-01,30.556
2017-09-01,28.003
2017-10-01,26.669
2017-11-01,25.451
2017-12-01,27.493
2018-01-01,18.761
2018-02-01,21.966
2018-03-01,29.011
2018-04-01,29.97
2018-05-01,34.632
2018-06-01,35.284
2018-07-01,33.585
2018-08-01,33.873
2018-09-01,26.541
2018-10-01,27.096
2018-11-01,24.893
2018-12-01,25.569
2019-01-01,17.919
2019-02-01,22.443
2019-03-01,29.26
2019-04-01,31.828
2019-05-01,36.423
2019-06-01,33.85
2019-07-01,35.962
2019-08-01,35.137
2019-09-01,28.939
2019-10-01,29.195
2019-11-01,25.567
2019-12-01,29.668
2020-01-01,20.865
2020-02-01,24.633
2020-03-01,30.505
2020-04-01,25.864
2020-05-01,27.147
2020-06-01,38.249
2020-07-01,43.464
2020-08-01,38.055
2020-09-01,36.899
2020-10-01,36.237
2020-11-01,31.465
2020-12-01,36.309
2021-01-01,24.161
2021-02-01,23.949
2021-03-01,35.152
2021-04-01,35.858
2021-05-01,37.446
2021-06-01,41.139
2021-07-01,39.134
2021-08-01,38.577
2021-09-01,36.662
2021-10-01,33.738
2021-11-01,32.645
2021-12-01,35.771
2022-01-01,25.061
2022-02-01,27.399
2022-03-01,35.33
2022-04-01,34.041
2022-05-01,36.741
2022-06-01,37.492
2022-07-01,32.571
2022-08-01,33.829
2022-09-01,31.014
2022-10-01,26.188
2022-11-01,23.089
2022-12-01,25.099
