date,value
2008-02-01,238828.5409999934
2008-03-01,236678.90259103474
2008-04-01,234494.8068345015
2008-05-01,232320.67586144223
2008-06-01,230125.33631605757
2008-07-01,227756.1761689147
2008-08-01,225185.22128678244
2008-09-01,222561.64877814957
2008-10-01,220057.05205465338
2008-11-01,217516.06003494558
2008-12-01,215078.99993141045
2009-01-01,212651.46620718527
2009-02-01,210676.07505010773
2009-03-01,208864.787896299
2009-04-01,207263.56543123815
2009-05-01,205701.63853344662
2009-06-01,204295.8276272135
2009-07-01,203067.49972700252
2009-08-01,201965.63495864024
2009-09-01,200938.7750646324
2009-10-01,200127.80827313752
2009-11-01,199771.59826688212
2009-12-01,199759.6796026499
2010-01-01,199931.449923859
2010-02-01,200047.29866424907
2010-03-01,200297.15075044736
2010-04-01,200617.04076213803
2010-05-01,200842.86318216918
2010-06-01,200698.9039045329
2010-07-01,200037.773212537
2010-08-01,199076.54016556795
2010-09-01,197917.43642262142
2010-10-01,196673.37414622822
2010-11-01,195393.38688066477
2010-12-01,194165.00846987622
2011-01-01,193133.19850871342
2011-02-01,192157.86548979167
2011-03-01,191232.0857431363
2011-04-01,190217.06537325575
2011-05-01,189112.35950585053
2011-06-01,188121.2627968032
2011-07-01,187274.8802707187
2011-08-01,186519.10125887115
2011-09-01,185719.683569437
2011-10-01,184897.81801923396
2011-11-01,184254.01021879746
2011-12-01,183715.92682261672
2012-01-01,183341.4023414822
2012-02-01,183184.10185483904
2012-03-01,183338.43772583
2012-04-01,183741.31860178293
2012-05-01,184301.1340228056
2012-06-01,185025.11321906428
2012-07-01,185864.24190454246
2012-08-01,186776.67242527363
2012-09-01,187820.31872035653
2012-10-01,188961.60510473314
2012-11-01,190211.51880250726
2012-12-01,191486.74055089377
2013-01-01,192821.351706546
2013-02-01,194142.73378308926
2013-03-01,195432.54498566492
2013-04-01,196830.27144680786
2013-05-01,198520.8415723089
2013-06-01,200445.03396939673
2013-07-01,202330.29258861303
2013-08-01,204132.84298454248
2013-09-01,205835.124503181
2013-10-01,207585.67333364912
2013-11-01,209090.90437805466
2013-12-01,210442.66126384056
2014-01-01,211596.8039831969
2014-02-01,212737.22475306707
2014-03-01,213896.50262644907
2014-04-01,215129.72046284555
2014-05-01,216472.92133045
2014-06-01,217589.6323710868
2014-07-01,218539.0784796623
2014-08-01,219271.706061348
2014-09-01,220122.9664677133
2014-10-01,220933.71699486842
2014-11-01,221975.93738773995
2014-12-01,223108.97599326572
2015-01-01,224374.39346543408
2015-02-01,225621.27493422612
2015-03-01,226842.4823412264
2015-04-01,228037.5434510839
2015-05-01,229302.13722784142
2015-06-01,230535.41881172906
2015-07-01,231860.6446062912
2015-08-01,233259.91738845798
2015-09-01,234840.6428638516
2015-10-01,236500.0089051863
2015-11-01,238015.85622759952
2015-12-01,239477.99716834488
2016-01-01,241101.04503783266
2016-02-01,242807.626975196
2016-03-01,244213.32423616378
2016-04-01,245392.51943814039
2016-05-01,246391.16306633348
2016-06-01,247449.01231345625
2016-07-01,248197.45503829804
2016-08-01,248832.7134819136
2016-09-01,249484.50030581508
2016-10-01,250489.56376726192
2016-11-01,251747.79536471446
2016-12-01,253261.16644341903
2017-01-01,254855.27277080723
2017-02-01,256544.92072127125
2017-03-01,258259.1255620217
2017-04-01,260018.48409705478
2017-05-01,261582.91070542258
2017-06-01,263059.4939974636
2017-07-01,264221.6174939248
2017-08-01,265323.4144459889
2017-09-01,266457.71992888086
2017-10-01,267891.75894003286
2017-11-01,269487.8983937557
2017-12-01,271268.13535929786
2018-01-01,273203.9814663222
2018-02-01,275252.14521459007
2018-03-01,277392.881812419
2018-04-01,279308.78900363226
2018-05-01,281155.27248102333
2018-06-01,282576.6186781777
2018-07-01,284039.4112401045
2018-08-01,285346.3983216966
2018-09-01,286631.23895633954
2018-10-01,287625.5500292471
2018-11-01,288484.41164759203
2018-12-01,289225.7204450004
2019-01-01,289929.8423775077
2019-02-01,290703.6195634064
2019-03-01,291604.6919624109
2019-04-01,292490.45164317684
2019-05-01,293142.91332947096
2019-06-01,293701.6328667308
2019-07-01,294253.9912170492
2019-08-01,294947.55554659484
2019-09-01,295671.0535767355
2019-10-01,296664.3740404051
2019-11-01,298028.93427404546
2019-12-01,299647.87038570107
2020-01-01,301527.24110878824
2020-02-01,303507.4777102387
2020-03-01,305662.6511234029
2020-04-01,307499.788119701
2020-05-01,308435.8597745174
2020-06-01,308769.1792412765
2020-07-01,309418.5133189829
2020-08-01,311393.63819666405
2020-09-01,314930.6596699847
2020-10-01,319331.3107646417
2020-11-01,324330.8282282418
2020-12-01,329268.49637183023
2021-01-01,333987.08991783176
2021-02-01,338607.16407675226
2021-03-01,343349.03797601286
2021-04-01,348514.8193102472
2021-05-01,354107.2790832989
2021-06-01,359877.8170016908
2021-07-01,364751.11553849885
2021-08-01,367990.50240731734
2021-09-01,369813.1457068128
2021-10-01,371665.8986062593
2021-11-01,374461.43880662613
2021-12-01,378152.498695834
2022-01-01,383796.13889661495
2022-02-01,391037.14951759944
2022-03-01,399617.9972681264
2022-04-01,407558.7822383646
2022-05-01,414016.7084500571
2022-06-01,418518.3132189428
2022-07-01,420216.2894849224
2022-08-01,419312.06390924
2022-09-01,416709.0141197985
2022-10-01,414298.8212182458
2022-11-01,412518.1132222838
2022-12-01,410727.2140364315
